City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (Inches),Snow (Inches)
0,Norman Wells,CA,2020-07-10 10:48:59,65.28,-126.83,55.4,87,75,4.7,broken clouds,0.0,0.0
1,Mahon,ES,2020-07-10 10:55:02,39.89,4.27,82.4,58,100,16.11,overcast clouds,0.0,0.0
2,Bambous Virieux,MU,2020-07-10 10:49:21,-20.34,57.76,75.99,69,40,18.34,scattered clouds,0.0,0.0
3,Albany,US,2020-07-10 10:45:24,42.6,-73.97,73.0,81,13,3.42,few clouds,0.0,0.0
4,Arraial Do Cabo,BR,2020-07-10 10:48:55,-22.97,-42.03,68.0,68,25,5.82,scattered clouds,0.0,0.0
5,Lavrentiya,RU,2020-07-10 10:55:02,65.58,-171.0,48.65,81,72,2.51,broken clouds,0.0,0.0
6,Butaritari,KI,2020-07-10 10:49:11,3.07,172.79,82.9,78,45,11.77,light rain,0.0,0.0
7,Isla Vista,US,2020-07-10 10:51:09,34.41,-119.86,64.99,88,90,4.7,overcast clouds,0.0,0.0
8,Carnarvon,AU,2020-07-10 10:55:03,-24.87,113.63,68.0,56,0,9.17,clear sky,0.0,0.0
9,Cherskiy,RU,2020-07-10 10:55:03,68.75,161.3,53.91,82,86,9.31,overcast clouds,0.0,0.0
10,Bilibino,RU,2020-07-10 10:55:03,68.05,166.44,57.27,76,42,1.03,scattered clouds,0.0,0.0
11,Manggar,ID,2020-07-10 10:55:03,-2.88,108.27,79.38,82,21,5.7,light rain,0.0,0.0
12,Barrow,US,2020-07-10 10:55:03,71.29,-156.79,32.0,93,75,6.93,mist,0.0,0.0
13,Mataura,NZ,2020-07-10 10:55:03,-46.19,168.86,42.96,92,97,4.41,overcast clouds,0.0,0.0
14,San Andres,CO,2020-07-10 10:52:00,12.58,-81.7,82.4,83,90,16.11,overcast clouds,0.0,0.0
15,Port Hedland,AU,2020-07-10 10:55:04,-20.32,118.57,71.6,40,13,3.58,few clouds,0.0,0.0
16,Seymchan,RU,2020-07-10 10:55:04,62.88,152.43,57.69,81,94,4.43,light rain,0.0,0.0
17,Ponta Delgada,PT,2020-07-10 10:55:04,37.73,-25.67,71.6,60,40,5.82,scattered clouds,0.0,0.0
18,Khatanga,RU,2020-07-10 10:55:04,71.97,102.5,65.39,45,43,20.47,scattered clouds,0.0,0.0
19,Punta Arenas,CL,2020-07-10 10:55:04,-53.15,-70.92,33.8,80,95,8.05,overcast clouds,0.0,0.0
20,Nouadhibou,MR,2020-07-10 10:55:04,20.93,-17.03,80.6,47,0,14.99,clear sky,0.0,0.0
21,Hilo,US,2020-07-10 10:54:05,19.73,-155.09,75.2,83,90,4.7,overcast clouds,0.0,0.0
22,Avarua,CK,2020-07-10 10:48:57,-21.21,-159.78,73.4,83,100,5.82,overcast clouds,0.0,0.0
23,Rikitea,PF,2020-07-10 10:48:48,-23.12,-134.97,66.74,65,89,18.23,overcast clouds,0.0,0.0
24,Henties Bay,NA,2020-07-10 10:49:26,-22.12,14.28,61.12,70,0,8.79,clear sky,0.0,0.0
25,Busselton,AU,2020-07-10 10:44:59,-33.65,115.33,50.0,54,0,8.95,clear sky,0.0,0.0
26,Marawi,PH,2020-07-10 10:55:05,8.0,124.29,79.0,81,100,5.99,moderate rain,0.1,0.0
27,Cabo San Lucas,MX,2020-07-10 10:45:36,22.89,-109.91,82.0,73,89,12.03,overcast clouds,0.0,0.0
28,Egvekinot,RU,2020-07-10 10:55:05,66.32,-179.17,46.49,94,100,1.54,overcast clouds,0.0,0.0
29,Hobart,AU,2020-07-10 10:52:10,-42.88,147.33,45.0,93,75,4.7,mist,0.0,0.0
30,Inta,RU,2020-07-10 10:55:06,66.03,60.17,91.85,40,11,11.74,few clouds,0.0,0.0
31,Tiksi,RU,2020-07-10 10:49:24,71.69,128.87,38.77,88,86,8.57,overcast clouds,0.0,0.0
32,Ushuaia,AR,2020-07-10 10:46:19,-54.8,-68.3,33.8,64,75,4.7,broken clouds,0.0,0.0
33,Koppang,NO,2020-07-10 10:55:06,61.57,11.06,53.01,69,82,5.17,light rain,0.0,0.0
34,Yellowknife,CA,2020-07-10 10:45:01,62.46,-114.35,59.0,72,75,5.82,broken clouds,0.0,0.0
35,Cockburn Town,TC,2020-07-10 10:55:07,21.46,-71.14,82.69,78,44,21.88,scattered clouds,0.0,0.0
36,Leningradskiy,RU,2020-07-10 10:49:15,69.38,178.42,41.83,86,16,8.3,few clouds,0.0,0.0
37,Bagdarin,RU,2020-07-10 10:55:07,54.43,113.6,71.67,79,77,2.93,light rain,0.0,0.0
38,Chokwe,MZ,2020-07-10 10:55:07,-24.53,32.98,83.73,37,0,10.69,clear sky,0.0,0.0
39,Gummidipundi,IN,2020-07-10 10:55:08,13.4,80.15,91.4,63,75,5.82,broken clouds,0.0,0.0
40,Grand Gaube,MU,2020-07-10 10:55:08,-20.01,57.66,75.99,58,25,14.0,scattered clouds,0.0,0.0
41,Puerto Escondido,MX,2020-07-10 10:55:08,15.85,-97.07,79.25,74,28,4.72,scattered clouds,0.0,0.0
42,Berdigestyakh,RU,2020-07-10 10:55:08,62.1,126.7,66.65,68,98,5.12,overcast clouds,0.0,0.0
43,Svencionys,LT,2020-07-10 10:55:08,55.15,26.17,61.05,97,100,11.23,light rain,0.0,0.0
44,Meybod,IR,2020-07-10 10:55:09,32.25,54.02,102.2,12,20,11.41,few clouds,0.0,0.0
45,Nanning,CN,2020-07-10 10:51:45,22.82,108.32,89.6,75,20,8.95,light intensity shower rain,0.0,0.0
46,Saskylakh,RU,2020-07-10 10:49:28,71.92,114.08,65.35,47,78,17.13,broken clouds,0.0,0.0
47,Waitati,NZ,2020-07-10 10:55:09,-45.75,170.57,46.0,74,43,3.0,scattered clouds,0.0,0.0
48,Ranau,MY,2020-07-10 10:55:09,5.95,116.66,77.0,100,40,11.41,heavy intensity rain,0.0,0.0
49,Hermanus,ZA,2020-07-10 10:55:09,-34.42,19.23,55.0,81,96,1.99,overcast clouds,0.0,0.0
50,Bayir,TR,2020-07-10 10:52:47,37.27,28.22,95.0,32,20,13.87,few clouds,0.0,0.0
51,Ambanja,MG,2020-07-10 10:55:10,-13.68,48.45,83.34,42,1,6.22,clear sky,0.0,0.0
52,Kaitangata,NZ,2020-07-10 10:48:50,-46.28,169.85,45.0,72,77,5.01,broken clouds,0.0,0.0
53,Kjollefjord,NO,2020-07-10 10:55:10,70.95,27.35,46.4,87,75,14.99,light intensity shower rain,0.0,0.0
54,Poum,NC,2020-07-10 10:55:10,-20.23,164.02,70.57,72,15,21.63,few clouds,0.0,0.0
55,Saint-Philippe,RE,2020-07-10 10:49:09,-21.36,55.77,75.99,57,39,29.97,scattered clouds,0.0,0.0
56,Elko,US,2020-07-10 10:49:43,41.0,-115.5,62.01,32,1,8.28,clear sky,0.0,0.0
57,Ancud,CL,2020-07-10 10:55:10,-41.87,-73.82,37.0,76,75,4.7,broken clouds,0.0,0.0
58,Palomares,MX,2020-07-10 10:55:10,17.15,-95.07,74.03,94,73,3.47,broken clouds,0.0,0.0
59,Vaini,TO,2020-07-10 10:55:11,-21.2,-175.2,71.6,83,75,16.11,broken clouds,0.0,0.0
60,Nieuw Amsterdam,SR,2020-07-10 10:55:11,5.88,-55.08,75.0,97,66,5.3,broken clouds,0.0,0.0
61,Rawson,AR,2020-07-10 10:50:07,-43.3,-65.1,36.72,81,74,14.92,broken clouds,0.0,0.0
62,Panaba,MX,2020-07-10 10:55:11,21.28,-88.27,76.19,95,52,4.94,broken clouds,0.0,0.0
63,Lander,US,2020-07-10 10:55:11,42.83,-108.73,66.2,17,1,3.36,clear sky,0.0,0.0
64,Cedar City,US,2020-07-10 10:50:09,37.68,-113.06,60.8,17,1,4.7,clear sky,0.0,0.0
65,Los Llanos De Aridane,ES,2020-07-10 10:55:12,28.66,-17.92,75.2,64,20,17.22,few clouds,0.0,0.0
66,Port Alfred,ZA,2020-07-10 10:48:57,-33.59,26.89,66.0,80,52,1.01,broken clouds,0.0,0.0
67,Cape Town,ZA,2020-07-10 10:48:13,-33.93,18.42,55.0,93,75,14.99,heavy intensity rain,0.2,0.0
68,East London,ZA,2020-07-10 10:49:23,-33.02,27.91,66.2,72,75,8.05,broken clouds,0.0,0.0
69,Miri,MY,2020-07-10 10:51:27,4.41,114.01,80.6,83,40,6.93,scattered clouds,0.0,0.0
70,Nahan,IN,2020-07-10 10:55:12,30.55,77.3,96.8,67,40,10.29,haze,0.0,0.0
71,Hiriyur,IN,2020-07-10 10:55:13,13.95,76.62,82.94,60,100,15.68,light rain,0.0,0.0
72,Fortuna,US,2020-07-10 10:48:55,40.6,-124.16,55.99,100,90,5.82,overcast clouds,0.0,0.0
73,Vardo,NO,2020-07-10 10:55:13,70.37,31.11,48.2,93,75,10.29,broken clouds,0.0,0.0
74,Atuona,PF,2020-07-10 10:55:13,-9.8,-139.03,79.29,79,97,21.61,light rain,0.0,0.0
75,Walvis Bay,NA,2020-07-10 10:55:13,-22.96,14.51,62.6,63,75,8.05,broken clouds,0.0,0.0
76,Jamestown,US,2020-07-10 10:54:59,42.1,-79.24,70.0,88,1,4.7,clear sky,0.0,0.0
77,Victoria,HK,2020-07-10 10:45:18,22.29,114.16,87.01,78,100,14.76,overcast clouds,0.0,0.0
78,Chuy,UY,2020-07-10 10:51:04,-33.7,-53.46,43.09,90,26,8.21,scattered clouds,0.0,0.0
79,Bembereke,BJ,2020-07-10 10:55:14,10.23,2.66,82.74,65,54,9.86,broken clouds,0.0,0.0
80,Tocopilla,CL,2020-07-10 10:55:14,-22.09,-70.2,55.2,68,25,2.26,scattered clouds,0.0,0.0
81,Kapaa,US,2020-07-10 10:48:48,22.08,-159.32,78.8,83,90,13.87,overcast clouds,0.0,0.0
82,Luderitz,NA,2020-07-10 10:55:14,-26.65,15.16,57.2,93,86,27.51,light rain,0.0,0.0
83,Yumen,CN,2020-07-10 10:55:15,40.28,97.2,88.02,12,100,5.44,overcast clouds,0.0,0.0
84,Nadym,RU,2020-07-10 10:55:15,65.53,72.52,69.8,46,0,18.97,clear sky,0.0,0.0
85,Karratha,AU,2020-07-10 10:50:10,-20.74,116.85,70.14,49,0,5.48,clear sky,0.0,0.0
86,Mar Del Plata,AR,2020-07-10 10:54:26,-38.0,-57.56,46.99,81,90,19.46,light rain,0.0,0.0
87,Katherine,AU,2020-07-10 10:55:15,-14.47,132.27,80.6,42,40,5.82,scattered clouds,0.0,0.0
88,Mount Isa,AU,2020-07-10 10:50:05,-20.73,139.5,75.2,31,0,5.82,clear sky,0.0,0.0
89,Luanda,AO,2020-07-10 10:54:31,-8.84,13.23,78.8,65,75,4.7,broken clouds,0.0,0.0
90,Pevek,RU,2020-07-10 10:55:15,69.7,170.31,42.37,100,78,7.34,broken clouds,0.0,0.0
91,Haines Junction,CA,2020-07-10 10:49:53,60.75,-137.51,45.19,80,100,1.61,overcast clouds,0.0,0.0
92,Ako,JP,2020-07-10 10:55:16,34.75,134.4,75.0,99,100,13.56,light rain,0.0,0.0
93,Kodiak,US,2020-07-10 10:49:00,57.79,-152.41,53.6,76,75,3.36,broken clouds,0.0,0.0
94,Ribeira Grande,PT,2020-07-10 10:49:50,38.52,-28.7,69.8,68,75,3.36,broken clouds,0.0,0.0
95,Codajas,BR,2020-07-10 10:55:16,-3.84,-62.06,73.85,88,33,1.1,scattered clouds,0.0,0.0
96,Sisophon,KH,2020-07-10 10:55:16,13.59,102.97,88.65,67,98,6.53,light rain,0.0,0.0
97,Longyearbyen,SJ,2020-07-10 10:49:21,78.22,15.64,50.0,66,20,16.11,few clouds,0.0,0.0
98,Biltine,TD,2020-07-10 10:55:17,14.53,20.92,93.06,37,100,12.26,overcast clouds,0.0,0.0
99,Evinayong,GQ,2020-07-10 10:55:17,1.44,10.55,79.21,65,98,4.68,overcast clouds,0.0,0.0
100,Georgetown,MY,2020-07-10 10:46:09,5.41,100.34,86.0,74,20,6.93,few clouds,0.0,0.0
101,Luwuk,ID,2020-07-10 10:55:17,-0.95,122.79,77.7,81,93,4.54,light rain,0.0,0.0
102,Olafsvik,IS,2020-07-10 10:55:17,64.89,-23.71,50.67,75,75,9.17,broken clouds,0.0,0.0
103,Qaanaaq,GL,2020-07-10 10:49:16,77.48,-69.36,44.46,60,29,2.44,scattered clouds,0.0,0.0
104,Ostrovnoy,RU,2020-07-10 10:55:17,68.05,39.51,66.85,49,12,18.72,few clouds,0.0,0.0
105,Hithadhoo,MV,2020-07-10 10:49:31,-0.6,73.08,83.64,74,98,8.25,moderate rain,0.1,0.0
106,Upernavik,GL,2020-07-10 10:49:19,72.79,-56.15,39.4,86,100,9.13,overcast clouds,0.0,0.0
107,Tadine,NC,2020-07-10 10:55:18,-21.55,167.88,66.45,75,5,16.37,clear sky,0.0,0.0
108,Aklavik,CA,2020-07-10 10:55:18,68.22,-135.01,39.2,93,90,6.93,overcast clouds,0.0,0.0
109,Shahganj,IN,2020-07-10 10:55:18,26.05,82.68,78.8,94,90,5.82,thunderstorm with light rain,0.0,0.0
110,San Cristobal,VE,2020-07-10 10:48:58,7.77,-72.22,63.91,86,35,4.16,scattered clouds,0.0,0.0
111,Broome,US,2020-07-10 10:55:18,42.25,-75.83,71.01,88,1,5.82,clear sky,0.0,0.0
112,Lae,PG,2020-07-10 10:55:18,-6.72,146.98,76.66,80,82,1.01,light rain,0.0,0.0
113,Bengkulu,ID,2020-07-10 10:49:10,-3.8,102.27,80.98,83,92,5.88,overcast clouds,0.0,0.0
114,Khorramshahr,IR,2020-07-10 10:55:19,30.44,48.17,118.4,9,0,4.7,clear sky,0.0,0.0
115,Neijiang,CN,2020-07-10 10:55:19,29.58,105.06,75.45,93,99,8.77,overcast clouds,0.0,0.0
116,Zonguldak,TR,2020-07-10 10:55:19,41.25,31.83,80.6,54,20,12.75,few clouds,0.0,0.0
117,Cabedelo,BR,2020-07-10 10:55:19,-6.98,-34.83,75.2,94,20,4.7,few clouds,0.0,0.0
118,Oranjemund,NA,2020-07-10 10:55:06,-28.55,16.43,57.25,80,100,32.06,moderate rain,0.1,0.0
119,Ilulissat,GL,2020-07-10 10:55:19,69.22,-51.1,41.0,93,90,18.34,light rain,0.0,0.0
120,Tuktoyaktuk,CA,2020-07-10 10:49:13,69.45,-133.04,39.2,100,90,10.29,light intensity drizzle,0.0,0.0
121,Marzuq,YE,2020-07-10 10:55:19,14.4,46.47,98.69,18,3,6.49,clear sky,0.0,0.0
122,San Patricio,MX,2020-07-10 10:55:20,19.22,-104.7,79.3,74,100,1.9,overcast clouds,0.0,0.0
123,Saldanha,ZA,2020-07-10 10:49:20,-33.01,17.94,53.6,93,99,10.29,light rain,0.0,0.0
124,Oktyabrskoye,RU,2020-07-10 10:55:20,43.06,44.74,75.2,69,75,6.71,broken clouds,0.0,0.0
125,Bredasdorp,ZA,2020-07-10 10:49:08,-34.53,20.04,55.4,76,95,8.05,overcast clouds,0.0,0.0
126,Amos,CA,2020-07-10 10:55:20,48.57,-78.12,71.01,82,20,5.82,few clouds,0.0,0.0
127,Jinchang,CN,2020-07-10 10:55:20,38.5,102.17,87.93,12,100,14.29,overcast clouds,0.0,0.0
128,Nizhnevartovsk,RU,2020-07-10 10:55:21,60.93,76.55,71.6,56,40,13.42,scattered clouds,0.0,0.0
129,Fare,PF,2020-07-10 10:55:21,-16.7,-151.02,77.95,79,54,21.47,broken clouds,0.0,0.0
130,Santiago Del Estero,AR,2020-07-10 10:55:21,-27.8,-64.26,48.07,80,0,7.25,clear sky,0.0,0.0
131,Dangriga,BZ,2020-07-10 10:55:21,16.97,-88.23,82.0,84,95,4.0,light rain,0.0,0.0
132,Pyaozerskiy,RU,2020-07-10 10:55:21,65.83,31.17,61.47,57,1,13.94,light rain,0.0,0.0
133,Ayan,RU,2020-07-10 10:55:21,56.45,138.17,50.59,94,100,3.78,overcast clouds,0.0,0.0
134,Mayor Pablo Lagerenza,PY,2020-07-10 10:55:21,-19.93,-60.77,56.28,88,98,5.12,overcast clouds,0.0,0.0
135,Diffa,NE,2020-07-10 10:55:22,13.32,12.61,95.77,34,83,14.65,broken clouds,0.0,0.0
136,Delta Del Tigre,UY,2020-07-10 10:55:22,-34.76,-56.39,44.01,81,88,8.05,overcast clouds,0.0,0.0
137,Hasaki,JP,2020-07-10 10:49:15,35.73,140.83,80.6,83,75,11.41,broken clouds,0.0,0.0
138,Dikson,RU,2020-07-10 10:48:54,73.51,80.55,45.59,75,28,20.71,scattered clouds,0.0,0.0
139,Chokurdakh,RU,2020-07-10 10:49:07,70.63,147.92,56.43,56,58,11.95,broken clouds,0.0,0.0
140,Castro,BR,2020-07-10 10:49:01,-24.79,-50.01,44.06,68,72,2.73,broken clouds,0.0,0.0
141,Chadiza,ZM,2020-07-10 10:55:23,-14.07,32.44,80.29,40,47,4.72,scattered clouds,0.0,0.0
142,Lisakovsk,KZ,2020-07-10 10:55:23,52.54,62.49,90.7,38,9,10.13,clear sky,0.0,0.0
143,College,US,2020-07-10 10:55:23,64.86,-147.8,55.4,87,75,3.36,light rain,0.0,0.0
144,Cidreira,BR,2020-07-10 10:49:20,-30.18,-50.21,49.66,79,0,6.62,clear sky,0.0,0.0
145,Te Anau,NZ,2020-07-10 10:50:16,-45.42,167.72,41.16,86,100,2.24,overcast clouds,0.0,0.0
146,Abu Kamal,SY,2020-07-10 10:55:23,34.45,40.92,106.54,15,53,8.21,broken clouds,0.0,0.0
147,Ismailia,EG,2020-07-10 10:55:24,30.6,32.27,97.56,23,0,11.54,clear sky,0.0,0.0
148,Acapulco,MX,2020-07-10 10:49:21,16.86,-99.89,79.03,79,66,4.0,broken clouds,0.0,0.0
149,Bluff,NZ,2020-07-10 10:49:06,-46.6,168.33,50.2,79,96,17.52,light rain,0.0,0.0
150,Severnyy,RU,2020-07-10 10:55:24,50.68,36.55,73.4,43,10,4.47,clear sky,0.0,0.0
151,Andenes,NO,2020-07-10 10:49:05,69.31,16.12,53.6,81,46,5.82,scattered clouds,0.0,0.0
152,Jacareacanga,BR,2020-07-10 10:55:24,-6.22,-57.75,71.04,73,13,1.28,few clouds,0.0,0.0
153,Codrington,AU,2020-07-10 10:55:24,-38.27,141.97,48.76,88,100,5.73,overcast clouds,0.0,0.0
154,Namibe,AO,2020-07-10 10:49:20,-15.2,12.15,64.4,68,20,12.75,few clouds,0.0,0.0
155,Dumai,ID,2020-07-10 10:55:25,1.68,101.45,82.11,74,85,2.28,overcast clouds,0.0,0.0
156,Puerto Ayora,EC,2020-07-10 10:49:06,-0.74,-90.35,68.0,89,98,1.01,overcast clouds,0.0,0.0
157,Kapuskasing,CA,2020-07-10 10:55:25,49.42,-82.43,62.6,93,75,3.36,broken clouds,0.0,0.0
158,Salalah,OM,2020-07-10 10:49:17,17.02,54.09,86.0,79,75,13.87,broken clouds,0.0,0.0
159,Pafos,CY,2020-07-10 10:54:59,34.77,32.42,89.01,66,40,8.05,scattered clouds,0.0,0.0
160,Souillac,MU,2020-07-10 10:49:02,-20.52,57.52,73.4,69,40,18.34,scattered clouds,0.0,0.0
161,Itarema,BR,2020-07-10 10:49:58,-2.92,-39.92,78.46,76,64,12.82,broken clouds,0.0,0.0
162,Demirci,TR,2020-07-10 10:55:25,39.05,28.66,85.53,26,0,8.08,clear sky,0.0,0.0
163,Wajima,JP,2020-07-10 10:55:26,37.4,136.9,71.6,94,75,5.82,light intensity shower rain,0.0,0.0
164,Santa Cruz Del Norte,CU,2020-07-10 10:55:26,23.15,-81.92,75.2,100,20,4.7,few clouds,0.0,0.0
165,Redmond,US,2020-07-10 10:51:51,47.67,-122.12,55.99,91,63,3.0,broken clouds,0.0,0.0
166,Tual,ID,2020-07-10 10:55:26,-5.67,132.75,79.54,87,99,16.82,light rain,0.0,0.0
167,Manokwari,ID,2020-07-10 10:55:26,-0.87,134.08,81.41,73,87,1.12,overcast clouds,0.0,0.0
168,Ashington,GB,2020-07-10 10:51:38,50.93,-0.39,68.0,48,40,12.75,scattered clouds,0.0,0.0
169,Thompson,CA,2020-07-10 10:48:54,55.74,-97.86,55.4,93,75,4.7,broken clouds,0.0,0.0
170,Torbay,CA,2020-07-10 10:55:27,47.67,-52.73,54.0,87,90,4.7,overcast clouds,0.0,0.0
171,Bira,RU,2020-07-10 10:55:27,49.0,132.47,65.37,89,34,1.72,scattered clouds,0.0,0.0
172,Dunedin,NZ,2020-07-10 10:49:12,-45.87,170.5,46.0,68,52,1.99,broken clouds,0.0,0.0
173,Nikolskoye,RU,2020-07-10 10:55:27,59.7,30.79,70.0,49,75,6.71,broken clouds,0.0,0.0
174,Gizo,SB,2020-07-10 10:49:28,-8.1,156.84,83.01,80,100,16.53,light rain,0.0,0.0
175,Gerash,IR,2020-07-10 10:55:27,27.67,54.14,109.4,13,40,2.55,scattered clouds,0.0,0.0
176,Mairana,BO,2020-07-10 10:55:28,-18.12,-63.93,47.28,100,100,2.62,overcast clouds,0.0,0.0
177,Raudeberg,NO,2020-07-10 10:55:28,61.99,5.14,59.0,74,55,8.08,broken clouds,0.0,0.0
178,Airai,TL,2020-07-10 10:55:28,-8.93,125.41,58.03,100,72,4.14,broken clouds,0.0,0.0
179,Mason City,US,2020-07-10 10:54:35,43.15,-93.2,66.0,100,1,9.17,clear sky,0.0,0.0
180,Kilosa,TZ,2020-07-10 10:55:28,-6.83,36.98,70.83,86,99,2.93,light rain,0.0,0.0
181,Trairi,BR,2020-07-10 10:55:28,-3.28,-39.27,75.97,85,35,8.79,light rain,0.0,0.0
182,Dingle,PH,2020-07-10 10:48:58,11.0,122.67,80.64,82,98,1.95,moderate rain,0.1,0.0
183,Alihe,CN,2020-07-10 10:55:29,50.57,123.72,77.47,46,3,5.35,clear sky,0.0,0.0
184,Homer,US,2020-07-10 10:55:29,59.64,-151.55,55.99,87,75,3.36,broken clouds,0.0,0.0
185,Otjiwarongo,NA,2020-07-10 10:55:29,-20.46,16.65,75.2,16,1,23.64,clear sky,0.0,0.0
186,Lata,PT,2020-07-10 10:49:17,40.16,-8.33,82.0,49,0,4.03,clear sky,0.0,0.0
187,Sambava,MG,2020-07-10 10:55:30,-14.27,50.17,77.14,63,6,16.62,clear sky,0.0,0.0
